Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ JUN25,Backtest,Orb,Short,1,6531.00,6539.00,1/2/2015 9:03:00 AM,1/2/2015 9:04:00 AM,ORB_Short,Stop loss,($160.00),($160.00),$0.00,$160.00,$55.00,$215.00,2,
2,NQ JUN25,Backtest,Orb,Short,1,6470.50,6427.00,1/5/2015 8:53:00 AM,1/5/2015 1:52:00 PM,ORB_Short,Profit target,$870.00,$710.00,$0.00,$105.00,$870.00,$0.00,300,
3,NQ JUN25,Backtest,Orb,Short,1,6427.25,6446.50,1/6/2015 9:08:00 AM,1/6/2015 9:17:00 AM,ORB_Short,Stop loss,($385.00),$325.00,$0.00,$385.00,$10.00,$395.00,10,
4,NQ JUN25,Backtest,Orb,Long,1,6427.75,6409.25,1/7/2015 9:02:00 AM,1/7/2015 9:41:00 AM,ORB_Long,Stop loss,($370.00),($45.00),$0.00,$370.00,$115.00,$485.00,40,
5,NQ JUN25,Backtest,Orb,Short,1,6512.25,6469.00,1/9/2015 8:50:00 AM,1/9/2015 10:13:00 AM,ORB_Short,Profit target,$865.00,$820.00,$0.00,$135.00,$865.00,$0.00,84,
6,NQ JUN25,Backtest,Orb,Short,1,6436.50,6450.25,1/12/2015 9:04:00 AM,1/12/2015 4:00:00 PM,ORB_Short,Exit on session close,($275.00),$545.00,$0.00,$590.00,$90.00,$365.00,399,
7,NQ JUN25,Backtest,Orb,Long,1,6523.00,6479.25,1/13/2015 9:02:00 AM,1/13/2015 12:23:00 PM,ORB_Long,Stop loss,($875.00),($330.00),$0.00,$875.00,$115.00,$990.00,202,
8,NQ JUN25,Backtest,Orb,Long,1,6376.75,6417.50,1/16/2015 9:30:00 AM,1/16/2015 4:00:00 PM,ORB_Long,Exit on session close,$815.00,$485.00,$0.00,$220.00,$835.00,$20.00,376,
9,NQ JUN25,Backtest,Orb,Short,1,6452.50,6488.00,1/22/2015 8:48:00 AM,1/22/2015 9:21:00 AM,ORB_Short,Stop loss,($710.00),($225.00),$0.00,$710.00,$140.00,$850.00,34,
10,NQ JUN25,Backtest,Orb,Long,1,6554.75,6537.50,1/23/2015 9:03:00 AM,1/23/2015 9:42:00 AM,ORB_Long,Stop loss,($345.00),($570.00),$0.00,$345.00,$25.00,$370.00,40,
11,NQ JUN25,Backtest,Orb,Short,1,6529.25,6554.00,1/26/2015 8:48:00 AM,1/26/2015 12:49:00 PM,ORB_Short,Stop loss,($495.00),($1065.00),$0.00,$495.00,$30.00,$525.00,242,
12,NQ JUN25,Backtest,Orb,Short,1,6456.25,6489.00,1/27/2015 9:04:00 AM,1/27/2015 3:32:00 PM,ORB_Short,Stop loss,($655.00),($1720.00),$0.00,$655.00,$650.00,$1305.00,374,
13,NQ JUN25,Backtest,Orb,Short,1,6378.25,6415.75,1/29/2015 8:49:00 AM,1/29/2015 12:37:00 PM,ORB_Short,Stop loss,($750.00),($2470.00),$0.00,$750.00,$30.00,$780.00,229,
14,NQ JUN25,Backtest,Orb,Long,1,6482.75,6447.75,1/30/2015 8:47:00 AM,1/30/2015 9:25:00 AM,ORB_Long,Stop loss,($700.00),($3170.00),$0.00,$700.00,$25.00,$725.00,39,
15,NQ JUN25,Backtest,Orb,Short,1,6383.50,6436.00,2/2/2015 9:02:00 AM,2/2/2015 10:34:00 AM,ORB_Short,Stop loss,($1050.00),($4220.00),$0.00,$1050.00,$340.00,$1390.00,93,
16,NQ JUN25,Backtest,Orb,Short,1,6473.25,6477.50,2/3/2015 9:05:00 AM,2/3/2015 9:06:00 AM,ORB_Short,Stop loss,($85.00),($4305.00),$0.00,$85.00,$20.00,$105.00,2,
17,NQ JUN25,Backtest,Orb,Long,1,6491.50,6475.75,2/4/2015 9:02:00 AM,2/4/2015 9:36:00 AM,ORB_Long,Stop loss,($315.00),($4620.00),$0.00,$315.00,$95.00,$410.00,35,
18,NQ JUN25,Backtest,Orb,Long,1,6492.25,6486.25,2/9/2015 9:25:00 AM,2/9/2015 9:46:00 AM,ORB_Long,Stop loss,($120.00),($4740.00),$0.00,$120.00,$110.00,$230.00,22,
19,NQ JUN25,Backtest,Orb,Long,1,6524.75,6516.25,2/10/2015 9:18:00 AM,2/10/2015 9:23:00 AM,ORB_Long,Stop loss,($170.00),($4910.00),$0.00,$170.00,$10.00,$180.00,6,
20,NQ JUN25,Backtest,Orb,Long,1,6569.50,6558.75,2/11/2015 9:07:00 AM,2/11/2015 12:12:00 PM,ORB_Long,Stop loss,($215.00),($5125.00),$0.00,$215.00,$235.00,$450.00,186,
21,NQ JUN25,Backtest,Orb,Long,1,6610.50,6624.25,2/12/2015 9:08:00 AM,2/12/2015 4:00:00 PM,ORB_Long,Exit on session close,$275.00,($4850.00),$0.00,$200.00,$340.00,$65.00,396,
22,NQ JUN25,Backtest,Orb,Short,1,6631.00,6638.50,2/13/2015 9:25:00 AM,2/13/2015 9:26:00 AM,ORB_Short,Stop loss,($150.00),($5000.00),$0.00,$150.00,$5.00,$155.00,2,
23,NQ JUN25,Backtest,Orb,Long,1,6662.00,6660.50,2/16/2015 9:03:00 AM,2/16/2015 9:23:00 AM,ORB_Long,Stop loss,($30.00),($5030.00),$0.00,$30.00,$30.00,$60.00,21,
24,NQ JUN25,Backtest,Orb,Long,1,6663.50,6660.50,2/17/2015 9:07:00 AM,2/17/2015 9:17:00 AM,ORB_Long,Stop loss,($60.00),($5090.00),$0.00,$60.00,$15.00,$75.00,11,
25,NQ JUN25,Backtest,Orb,Short,1,6655.25,6661.50,2/18/2015 9:24:00 AM,2/18/2015 9:33:00 AM,ORB_Short,Stop loss,($125.00),($5215.00),$0.00,$125.00,$10.00,$135.00,10,
26,NQ JUN25,Backtest,Orb,Long,1,6681.25,6698.00,2/19/2015 8:59:00 AM,2/19/2015 4:00:00 PM,ORB_Long,Exit on session close,$335.00,($4880.00),$0.00,$105.00,$335.00,$0.00,407,
27,NQ JUN25,Backtest,Orb,Short,1,6683.75,6693.25,2/20/2015 8:55:00 AM,2/20/2015 9:40:00 AM,ORB_Short,Stop loss,($190.00),($5070.00),$0.00,$190.00,$115.00,$305.00,46,
28,NQ JUN25,Backtest,Orb,Short,1,6717.50,6722.50,2/23/2015 9:15:00 AM,2/23/2015 9:46:00 AM,ORB_Short,Stop loss,($100.00),($5170.00),$0.00,$100.00,$135.00,$235.00,32,
29,NQ JUN25,Backtest,Orb,Short,1,6710.00,6724.00,2/24/2015 9:02:00 AM,2/24/2015 9:27:00 AM,ORB_Short,Stop loss,($280.00),($5450.00),$0.00,$280.00,$40.00,$320.00,26,
30,NQ JUN25,Backtest,Orb,Long,1,6727.75,6741.75,2/25/2015 9:02:00 AM,2/25/2015 12:35:00 PM,ORB_Long,Profit target,$280.00,($5170.00),$0.00,$95.00,$280.00,$0.00,214,
31,NQ JUN25,Backtest,Orb,Short,1,6714.25,6725.00,2/26/2015 9:01:00 AM,2/26/2015 9:35:00 AM,ORB_Short,Stop loss,($215.00),($5385.00),$0.00,$215.00,$20.00,$235.00,35,
32,NQ JUN25,Backtest,Orb,Short,1,6732.50,6741.00,2/27/2015 8:46:00 AM,2/27/2015 9:01:00 AM,ORB_Short,Stop loss,($170.00),($5555.00),$0.00,$170.00,$100.00,$270.00,16,
33,NQ JUN25,Backtest,Orb,Long,1,6741.75,6759.75,3/2/2015 8:47:00 AM,3/2/2015 4:00:00 PM,ORB_Long,Exit on session close,$360.00,($5195.00),$0.00,$30.00,$450.00,$90.00,416,
34,NQ JUN25,Backtest,Orb,Short,1,6737.75,6739.00,3/3/2015 8:52:00 AM,3/3/2015 4:00:00 PM,ORB_Short,Exit on session close,($25.00),($5220.00),$0.00,$150.00,$485.00,$510.00,408,
35,NQ JUN25,Backtest,Orb,Long,1,6742.50,6734.25,3/5/2015 9:13:00 AM,3/5/2015 10:08:00 AM,ORB_Long,Stop loss,($165.00),($5385.00),$0.00,$165.00,$65.00,$230.00,56,
36,NQ JUN25,Backtest,Orb,Short,1,6717.00,6729.50,3/6/2015 8:52:00 AM,3/6/2015 8:56:00 AM,ORB_Short,Stop loss,($250.00),($5635.00),$0.00,$250.00,$40.00,$290.00,5,
37,NQ JUN25,Backtest,Orb,Short,1,6684.50,6693.00,3/9/2015 9:17:00 AM,3/9/2015 12:31:00 PM,ORB_Short,Stop loss,($170.00),($5805.00),$0.00,$170.00,$175.00,$345.00,195,
38,NQ JUN25,Backtest,Orb,Short,1,6647.25,6615.25,3/10/2015 8:48:00 AM,3/10/2015 4:00:00 PM,ORB_Short,Exit on session close,$640.00,($5165.00),$0.00,$70.00,$755.00,$115.00,418,
39,NQ JUN25,Backtest,Orb,Long,1,6623.00,6618.00,3/11/2015 9:08:00 AM,3/11/2015 9:13:00 AM,ORB_Long,Stop loss,($100.00),($5265.00),$0.00,$100.00,$10.00,$110.00,6,
40,NQ JUN25,Backtest,Orb,Long,1,6599.75,6614.25,3/12/2015 8:47:00 AM,3/12/2015 3:59:00 PM,ORB_Long,Exit on session close,$290.00,($4975.00),$0.00,$55.00,$410.00,$120.00,411,
